MaxMakespan,MinMakespan,MinWorkload,MaxWorkload,MaxWCET,MinWCET,MedianWCET,NumNodes,MaxParallel,CriticalPath,AvgInDegree,AvgOutDegree,CoreNum,IsAnomaly
183130,91563,179691,359400,76760,6911,6926.000000,26,8,6,2,2,8,0
337768,168882,291097,582200,279243,11196,11196.500000,26,6,6,2,2,7,0
163997,81997,174096,348200,110329,6696,6696.500000,26,7,6,2,2,8,0
295830,147914,240398,480800,248431,9246,9246.000000,26,7,6,2,2,7,0
125663,62830,117492,235000,96534,4519,4522.500000,26,7,6,2,2,8,0
131365,65681,112190,224400,89136,4315,4315.000000,26,8,6,2,2,7,0
194212,97105,181092,362200,111894,6965,6984.000000,26,6,6,2,2,8,0
321688,160842,284790,569600,256466,10953,10953.000000,26,7,6,2,2,7,0
181728,90863,209098,418200,135300,8042,8042.500000,26,8,4,2,2,8,0
130758,65377,162890,325800,97782,6265,6265.000000,26,7,6,2,2,8,0
209774,104885,182091,364200,173384,7003,7003.000000,26,7,6,2,2,7,0
115478,57739,120897,241800,69988,4650,4674.500000,26,7,6,2,2,7,0
237495,118746,193596,387200,160580,7446,7446.000000,26,7,6,2,2,8,0
140170,70084,113996,228000,92098,4384,4384.000000,26,7,6,2,2,8,0
150570,75283,159797,319600,97501,6146,6146.000000,26,7,6,2,2,8,0
133920,66959,150297,300600,104899,5780,5780.000000,26,7,6,2,2,8,0
267462,133729,224089,448200,213383,8619,8623.000000,26,7,6,2,2,8,0
255900,127948,275891,551800,118280,10611,10616.500000,26,6,6,2,2,8,0
153436,76717,185696,371400,72466,7142,7174.000000,26,6,6,2,2,8,0
349804,174902,299898,599800,303668,11534,11534.000000,26,8,5,2,2,8,0
158702,79350,182997,366000,123348,7038,7038.000000,26,7,6,2,2,6,0
160880,80439,133696,267400,134925,5142,5142.000000,26,7,6,2,2,8,0
253472,126734,205989,412000,203312,7923,7923.000000,26,6,6,2,2,6,0
98757,49377,103190,206400,47728,3969,3969.500000,26,8,6,2,2,8,0
192467,96233,169291,338600,133804,6511,6511.000000,26,6,6,2,2,8,0
143475,71736,147492,295000,88552,5673,5681.500000,26,7,6,2,2,8,0
184014,92005,205990,412000,120005,7923,7923.000000,26,8,5,2,2,3,999
223275,111636,216391,432800,174483,8323,8323.000000,26,7,6,2,2,8,0
235560,117778,269190,538400,182998,10353,10353.000000,26,7,6,2,2,8,0
195169,97583,161390,322800,164070,6207,6207.500000,26,7,6,2,2,8,0
165635,82815,135590,271200,127603,5215,5215.000000,26,7,6,2,2,8,0
287005,143500,243289,486600,239565,9357,9357.000000,26,8,6,2,2,8,0
237620,118809,250797,501600,187891,9646,9646.000000,26,6,6,2,2,8,0
111561,55778,100592,201200,71749,3869,3882.000000,26,7,6,2,2,8,0
236866,118431,249196,498400,131735,9584,9587.000000,26,7,6,2,2,8,0
286261,143130,298597,597200,216864,11484,11484.000000,26,7,5,2,2,8,0
249024,124511,235295,470600,179053,9050,9095.000000,26,6,6,2,2,8,0
128899,64448,137295,274600,57435,5280,5296.000000,26,7,6,2,2,8,0
227723,113859,246595,493200,52991,9484,9608.500000,26,7,6,2,2,8,0
105503,52751,142998,286000,77699,5500,5500.000000,26,6,6,2,2,8,0
309498,154748,260592,521200,177780,10023,10059.500000,26,6,6,2,2,8,0
125921,62959,103397,206800,58069,3976,3976.000000,26,8,6,2,2,8,0
145894,72946,121191,242400,119864,4661,4662.500000,26,7,6,2,2,8,0
104162,52080,129292,258600,73080,4973,4975.000000,26,7,5,2,2,8,0
127446,63721,118489,237000,90693,4557,4557.000000,26,8,6,2,2,8,0
147155,73576,152590,305200,50195,5869,5873.500000,26,6,5,2,2,8,0
224769,112383,207396,414800,163991,7976,7976.000000,26,7,6,2,2,8,0
112459,56228,108697,217400,91523,4180,4180.000000,26,7,6,2,2,8,0
214483,107240,183295,366600,122369,7050,7050.000000,26,7,6,2,2,8,0
254758,127378,210497,421000,213603,8096,8096.000000,26,8,6,2,2,8,0
213829,106912,174290,348600,179532,6703,6703.000000,26,7,6,2,2,8,0
