"MaxMakespan,MinMakespan,MinWorkload,MaxWorkload,MaxWCET,MinWCET,MedianWCET,NumNodes,MaxParallel,CriticalPath,AvgInDegree,AvgOutDegree,CoreNum,IsAnomaly"
"338407,169203,260999,522000,228132,26166,30849.000000,10,4,4,1,1,7,0"
"98719,49358,105797,211600,59710,10611,14405.500000,10,4,4,1,1,9,0"
"137892,68945,105797,211600,70277,10602,10656.500000,10,4,4,1,1,8,0"
"275373,137685,196897,393800,207923,19691,19701.500000,10,5,4,1,1,7,0"
"312246,156122,273997,548000,228905,27401,31168.500000,10,4,4,1,1,9,0"
"332637,166318,273998,548000,211182,27417,31677.500000,10,4,4,1,1,8,0"
"146946,73472,169996,340000,67471,17497,23791.500000,10,4,4,1,1,7,0"
"271800,135899,205597,411200,155699,20594,22988.500000,10,6,4,1,1,9,0"
"213207,106602,205597,411200,91451,20587,23360.500000,10,4,4,1,1,8,0"
"177144,88572,127198,254400,138136,12723,12834.500000,10,4,4,1,1,7,0"
"117752,58875,121598,243200,43735,12176,20414.000000,10,4,4,1,1,9,0"
"167750,83874,121597,243200,129460,12161,12332.500000,10,4,4,1,1,8,0"
"243086,121542,266598,533200,84467,27112,54301.500000,10,5,4,1,1,7,0"
"372337,186167,271598,543200,172026,27166,27452.000000,10,4,4,1,1,9,0"
"348357,174178,271598,543200,286638,27160,28176.000000,10,5,3,1,1,8,0"
"180730,90363,130997,262000,73063,13100,13553.500000,10,5,4,1,1,9,0"
"175018,87509,138099,276200,93136,13848,14571.500000,10,5,3,1,1,7,0"
"160210,80104,130998,262000,93832,13108,13400.500000,10,5,4,1,1,8,0"
"255257,127628,268998,538000,174024,26900,27173.000000,10,4,4,1,1,9,0"
"330959,165478,237098,474200,230485,23710,23721.000000,10,5,4,1,1,7,0"
"332175,166087,268998,538000,180198,26924,35683.500000,10,4,4,1,1,8,0"
"298423,149210,235698,471400,227585,23570,23628.500000,10,4,4,1,1,7,0"
"161367,80682,115398,230800,101168,11540,11631.000000,10,5,4,1,1,8,0"
"150047,75022,115398,230800,102765,11540,11591.500000,10,4,4,1,1,9,0"
"164832,82416,118999,238000,119040,11900,12025.000000,10,5,4,1,1,7,0"
"197868,98932,164297,328600,91661,16486,21189.500000,10,5,4,1,1,8,0"
"192026,96012,164298,328600,138337,16430,16439.500000,10,5,4,1,1,9,0"
"189516,94757,160298,320600,140951,16043,16476.000000,10,4,4,1,1,7,0"
"274523,137260,266996,534000,119903,26707,48350.000000,10,5,4,1,1,8,0"
"372191,186094,266998,534000,190538,26700,26773.000000,10,4,4,1,1,9,0"
"355213,177605,268797,537600,152260,26892,29538.500000,10,4,4,1,1,8,0"
"97111,48555,105798,211600,59907,10599,11054.500000,10,5,4,1,1,7,0"
"324639,162318,268797,537600,205109,26893,28497.500000,10,5,4,1,1,9,0"
"149559,74779,113498,227000,84414,11350,11864.500000,10,4,4,1,1,8,0"
"281343,140670,273997,548000,122708,27401,31247.000000,10,5,4,1,1,7,0"
"158697,79347,113497,227000,86168,11350,11381.500000,10,5,4,1,1,9,0"
"249674,124836,205598,411200,173012,20753,25100.500000,10,4,4,1,1,7,0"
