MaxMakespan,MinMakespan,MinWorkload,MaxWorkload,MaxWCET,MinWCET,MedianWCET,NumNodes,MaxParallel,CriticalPath,AvgInDegree,AvgOutDegree,CoreNum,IsAnomaly
166686,83339,219092,438200,77217,10955,11407.000000,20,9,4,2,2,3,0
358056,179027,253097,506200,243337,18097,18706.000000,14,6,4,2,2,3,0
184218,92107,154996,310000,133851,8611,8682.500000,18,8,4,2,2,3,0
303609,151803,250994,502000,161992,15687,16076.000000,16,7,4,2,2,3,0
359431,179715,254398,508800,160570,21200,21253.500000,12,5,4,1,1,3,0
217969,108983,202497,405000,92564,20319,26473.000000,10,4,4,1,1,3,0
304455,152226,222197,444400,211107,18517,18662.000000,12,5,4,1,1,3,0
188183,94090,146397,292800,133447,9150,9150.000000,16,8,4,1,1,3,0
121596,60797,151197,302400,86867,6872,6872.000000,22,10,4,2,2,3,0
169891,84944,139396,278800,129989,9957,10009.000000,14,7,4,1,1,3,0
184465,92230,143694,287400,136005,7983,7984.500000,18,8,4,2,2,3,0
152222,76110,170996,342000,71601,8550,8657.000000,20,9,4,2,2,3,0
120343,60170,110796,221600,81110,9233,10088.500000,12,5,4,1,1,3,0
268433,134215,199598,399200,158543,19960,20017.500000,10,5,4,1,1,3,0
196976,98487,153697,307400,122672,9606,10048.000000,16,7,4,2,2,3,0
136583,68290,112897,225800,98668,8064,8271.000000,14,7,4,1,1,3,0
164414,82205,152193,304400,95772,8455,8461.500000,18,8,4,2,2,3,0
155811,77904,151497,303000,102443,12625,12962.000000,12,5,4,1,1,3,0
122385,61192,107398,214800,90139,10740,10841.500000,10,5,3,1,1,3,0
272023,136009,244693,489400,153008,12235,12264.000000,20,9,4,2,2,3,0
258048,129021,230993,462000,157653,10500,10516.500000,22,10,4,2,2,3,0
319316,159656,272296,544600,97649,17018,17110.000000,16,7,4,2,2,3,0
145938,72968,152897,305800,70955,8494,8508.500000,18,8,4,2,2,3,0
201290,100642,164595,329200,91378,11757,11793.500000,14,6,4,1,1,3,0
156206,78101,127695,255400,122201,10641,10645.000000,12,5,4,1,1,3,0
220575,110286,249397,498800,148696,17814,18006.000000,14,6,4,1,1,3,0
311435,155717,268598,537200,169422,22388,23113.500000,12,6,4,1,1,3,0
237193,118595,214795,429600,148680,11933,11968.500000,18,8,4,2,2,3,0
206819,103408,197797,395600,92787,14128,14184.500000,14,7,4,1,1,3,0
195761,97880,219798,439600,128565,21980,22619.000000,10,4,4,1,1,3,0
264020,132009,204496,409000,153664,12781,12803.500000,16,7,4,2,2,3,0
157580,78789,155597,311200,74511,7780,7781.500000,20,9,4,2,2,3,0
272732,136365,292297,584600,125477,24375,30756.000000,12,5,4,1,1,3,0
301842,150920,222197,444400,216985,10100,10100.000000,22,10,4,2,2,3,0
176249,88123,204597,409200,67783,12789,13422.500000,16,7,4,2,2,3,0
231531,115764,165097,330200,166009,9172,9172.500000,18,8,4,2,2,3,0
339289,169643,248298,496600,259227,24830,25487.500000,10,4,4,1,1,3,0
289196,144597,227396,454800,202164,16242,16645.500000,14,7,4,1,1,3,0
327828,163914,289398,578800,246166,24125,24545.500000,12,5,4,1,1,3,0
102446,51222,99998,200000,83306,6250,6261.000000,16,7,4,2,2,3,0
117178,58588,142996,286000,50173,7150,7212.500000,20,9,4,2,2,3,0
149166,74582,108597,217200,86212,10861,12135.000000,10,5,4,1,1,3,0
209533,104765,183596,367200,142957,15300,15385.000000,12,6,4,1,1,3,0
160858,80428,148497,297000,86046,10607,10730.500000,14,6,4,2,2,3,0
170049,85024,180397,360800,102076,10022,10029.000000,18,8,4,2,2,3,0
